station_id,terminal_id,X_lon,Y_lat,address,postcode,place,area,started,docks,hires,duration
409,10624,-0.099828,51.493146,The Pavilion,SE1 6EB,Strata,Elephant & Castle,20120105,41,35879,1381
410,1058,-0.169774,51.519968,A40,W2  1DX,Edgware Road Station,Marylebone,20120105,63,67412,1530
411,10629,-0.09968,51.493372,Strata SE1,SE1 6EL,Walworth Road,Elephant & Castle,20120105,33,62513,1662
412,10628,-0.110121,51.488105,28 Cleaver St,SE114DR,Cleaver Street,Kennington,20120105,17,27709,1064
419,22160,-0.149004,51.485821,123A Grosvenor Rd,SW1W8QL,Chelsea Bridge,Pimlico,20120105,15,62232,1415
420,22162,-0.105312,51.504043,95 Joan St,SE1 8BS,Southwark Station 1,Southwark,20120105,37,49718,936
421,22163,-0.104778,51.504044,197 Blackfriars Rd,SE1 8NJ,Southwark Station 2,Southwark,20120105,45,72673,1071
423,22164,-0.153933,51.494561,67 Eaton Square,SW1W9AR,Eaton Square (South),Belgravia,20120105,31,27480,1616
424,22159,-0.149186,51.490491,12 Ebury Bridge,SW1W8SL,Ebury Bridge,Pimlico,20120105,29,47801,1268
425,22181,-0.139159,51.533379,A400,NW1 7DF,Harrington Square 2,Camden Town,20120105,38,54621,1269
426,22161,-0.129925,51.493072,12 Vincent St,SW1P4HB,Vincent Street,Pimlico,20120105,17,43379,904
427,22180,-0.09294,51.51397,99 Cheapside,EC2V8BT,Cheapside,Bank,20120105,43,135835,1014
428,22179,-0.174554,51.499917,46 Exhibition Rd,SW7 2BX,Exhibition Road,Knightsbridge,20120105,20,131665,1410
430,22182,-0.17524,51.48902,S Parade,SW3 6EH,South Parade,Chelsea,20120105,18,24826,1416
431,22183,-0.122203,51.534474,17 Crinan St,N1  9SQ,Crinan Street,King's Cross,20120105,20,56584,1451
